Time UTC+0;Solar Carport [W];Solar Fixed installation [W]; SolarFlatroof [W];Solar Single panel [W];Solar Tracker [W];Solar Wall (south) [W];Solar Wall (west) [W];LUT Electricity Consumption [W];
2016-02-04 08:00:00;150.00;-521.00;13157.00;5969.00;141411.00;426876.00;285905.00;0;
2016-02-04 16:00:00;0.00;-1699.00;-4249.00;0.00;-1021.00;1425.00;2850.00;0;
2016-02-05 00:00:00;0.00;-1569.00;-7897.00;189.00;-827.00;10718.00;12760.00;0;
2016-02-05 08:00:00;86.00;-337.00;4331.00;4090.00;54306.00;297579.00;216031.00;0;
2016-02-05 16:00:00;0.00;-948.00;-6694.00;0.00;-772.00;3894.00;2822.00;0;
2016-02-06 00:00:00;0.00;-828.00;-8794.00;249.00;1879.00;13937.00;14238.00;0;
2016-02-06 08:00:00;2.00;-270.00;7120.00;4707.00;70828.00;273722.00;250688.00;0;
2016-02-06 16:00:00;0.00;-942.00;-7880.00;0.00;-480.00;4531.00;3308.00;0;
2016-02-07 00:00:00;0.00;-816.00;-9651.00;197.00;2531.00;12019.00;12413.00;0;
2016-02-07 08:00:00;0.00;-232.00;-5692.00;1576.00;41367.00;75014.00;85019.00;0;
2016-02-07 16:00:00;0.00;-946.00;-7439.00;0.00;-480.00;4188.00;3278.00;0;
2016-02-08 00:00:00;0.00;-722.00;-9126.00;119.00;1059.00;6338.00;6118.00;0;
2016-02-08 08:00:00;5.00;-392.00;-3887.00;716.00;11528.00;27820.00;30131.00;0;
2016-02-08 16:00:00;0.00;-1138.00;-7182.00;0.00;-821.00;4317.00;2828.00;0;
2016-02-09 00:00:00;0.00;-911.00;-9364.00;29.00;-712.00;5122.00;4240.00;0;
2016-02-09 08:00:00;134.00;1816.00;8093.00;828.00;13607.00;34006.00;37266.00;0;
2016-02-09 16:00:00;0.00;-1111.00;-7870.00;0.00;-480.00;4341.00;3516.00;0;
2016-02-10 00:00:00;25699.00;7778.00;61853.00;551.00;11652.00;28747.00;26338.00;0;
2016-02-10 08:00:00;231784.00;42561.00;368510.00;2436.00;66647.00;107580.00;117787.00;0;
2016-02-10 16:00:00;0.00;-532.00;-5763.00;0.00;-954.00;3599.00;2187.00;0;
2016-02-11 00:00:00;14274.00;-469.00;-812.00;33.00;-606.00;4424.00;4064.00;0;
2016-02-11 08:00:00;324960.00;9625.00;150760.00;705.00;14312.00;21243.00;28034.00;0;
2016-02-11 16:00:00;0.00;-960.00;-5963.00;0.00;-959.00;3596.00;2368.00;0;
2016-02-12 00:00:00;80.00;-845.00;-7743.00;6.00;-813.00;5054.00;4602.00;0;
2016-02-12 08:00:00;3462.00;-393.00;-6204.00;492.00;-504.00;45473.00;53723.00;0;
2016-02-12 16:00:00;0.00;-960.00;-6558.00;0.00;-956.00;3192.00;3339.00;0;
2016-02-13 00:00:00;0.00;-854.00;-8743.00;70.00;239.00;8897.00;10342.00;0;
2016-02-13 08:00:00;89.00;-223.00;-1528.00;2415.00;60694.00;111597.00;125234.00;0;
2016-02-13 16:00:00;0.00;-960.00;-7155.00;0.00;-480.00;3442.00;3709.00;0;
2016-02-14 00:00:00;0.00;-805.00;-8273.00;13.00;-477.50;11953.00;15052.50;0;
2016-02-14 08:00:00;0.00;-306.00;2178.50;2954.00;28790.50;185098.50;208374.00;0;
2016-02-14 16:00:00;0.00;-960.00;-6121.00;0.00;-480.00;3473.00;2641.00;0;
2016-02-15 00:00:00;0.00;-940.00;-8682.00;75.00;-392.00;27470.00;28800.00;0;
2016-02-15 08:00:00;0.00;-500.00;10953.00;4597.00;31580.00;443488.00;367801.00;0;
2016-02-15 16:00:00;0.00;-960.00;-5206.00;0.00;-480.00;2123.00;3069.00;0;
2016-02-16 00:00:00;0.00;-941.00;-4423.00;482.00;108224.00;193968.00;34644.00;0;
2016-02-16 08:00:00;792.00;-495.00;83888.00;13150.00;1141444.00;3725876.00;1083013.00;0;
2016-02-16 16:00:00;0.00;-960.00;-3826.00;0.00;-1440.00;1153.00;2657.00;0;
2016-02-17 00:00:00;0.00;-883.00;-4284.00;1068.00;18665.00;68463.00;50458.00;0;
2016-02-17 08:00:00;453.00;-393.00;33946.00;11195.00;415511.00;1443210.00;467074.00;0;
2016-02-17 16:00:00;0.00;-960.00;-5287.00;0.00;-1010.00;2343.00;2969.00;0;
2016-02-18 00:00:00;0.00;-874.00;-4310.00;1161.00;30247.00;89921.00;57888.00;0;
2016-02-18 08:00:00;377.00;-399.00;42919.00;16376.00;549251.00;1578695.00;711669.00;0;
2016-02-18 16:00:00;0.00;-960.00;-3959.00;0.00;-1008.00;855.00;3078.00;0;
2016-02-19 00:00:00;0.00;-960.00;-6296.00;45.00;429.00;33230.00;37546.00;0;
2016-02-19 08:00:00;0.00;-949.00;-6866.00;1950.00;31170.00;133429.00;146833.00;0;
2016-02-19 16:00:00;0.00;-960.00;-4254.00;0.00;-1440.00;1006.00;3237.00;0;
2016-02-20 00:00:00;0.00;-959.00;-5818.00;56.00;-1189.00;38141.00;41699.00;0;
2016-02-20 08:00:00;0.00;-956.00;-2326.00;1892.00;-264.00;222719.00;246138.00;0;
2016-02-20 16:00:00;0.00;-960.00;-2576.00;0.00;-1440.00;630.00;1893.00;0;
2016-02-21 00:00:00;0.00;-959.00;-5446.00;0.00;-1187.00;16534.00;18072.00;0;
2016-02-21 08:00:00;0.00;-820.00;935.00;1123.00;-381.00;283938.00;290622.00;0;
2016-02-21 16:00:00;0.00;-960.00;-2458.00;0.00;-1440.00;520.00;1907.00;0;
