Time UTC+0;Solar Carport [W];Solar Fixed installation [W]; SolarFlatroof [W];Solar Single panel [W];Solar Tracker [W];Solar Wall (south) [W];Solar Wall (west) [W];LUT Electricity Consumption [W];
2016-03-14 16:00:00;0;-672;-2984;0;-943;1073;1926;0;
2016-03-15 00:00:00;0;-428;7911;5092;274275;478139;157184;0;
2016-03-15 08:00:00;0;6530;91511;42390;994463;2916605;1561196;0;
2016-03-15 16:00:00;0;-955;-5466;1;-1383;2178;3844;0;
2016-03-16 00:00:00;0;3847;13885;8386;432631;883213;112723;0;
2016-03-16 08:00:00;0;69522;183902;74289;1645000;4916727;2304935;0;
2016-03-16 16:00:00;0;-916;-5272;0;-1359;1811;3400;0;
2016-03-17 00:00:00;0;73846;20306;8063;262482;594611;129318;0;
2016-03-17 08:00:00;56;267800;173335;27749;622859;1767757;856727;0;
2016-03-17 16:00:00;0;-684;-4374;0;-971;1446;2944;0;
2016-03-18 00:00:00;32;93329;119284;12688;524621;961267;99997;0;
2016-03-18 08:00:00;740;574310;876240;62662;1830947;5195509;2591661;0;
2016-03-18 16:00:00;0;-1144;-5742;2;-1297;2828;4557;0;
2016-03-19 00:00:00;46;105099;133584;16242;533984;926496;108141;0;
2016-03-19 08:00:00;541;467605;639027;42515;1106190;3137168;1366335;0;
2016-03-19 16:00:00;0;-926;-8963;2;-876;5078;5777;0;
2016-03-20 00:00:00;53;113685;148120;17266;533780;987842;117968;0;
2016-03-20 08:00:00;956;643182;939241;63216;1659246;4813865;2254678;0;
2016-03-20 16:00:00;0;-881;-5862;7;-1031;2824;6571;0;
2016-03-21 00:00:00;0;68748;89179;4646;119188;230760;191359;0;
2016-03-21 08:00:00;334;444232;700563;33052;1105486;2527628;1915384;0;
2016-03-21 16:00:00;0;-951;-4667;8;-900;2044;7465;0;
2016-03-22 00:00:00;90;132940;186909;17669;533575;1013318;124664;0;
2016-03-22 08:00:00;982;784040;1153760;60620;1805383;5025233;2682217;0;
2016-03-22 16:00:00;0;-910;-4232;16;-1026;1841;14367;0;
2016-03-23 00:00:00;18;108058;143908;9574;270470;510436;169935;0;
2016-03-23 08:00:00;1139;572041;942115;52676;1272674;3501147;1909522;0;
2016-03-23 16:00:00;0;-732;-2965;55;-798;2390;7197;0;
2016-03-24 00:00:00;75;113444;156326;4302;236556;469105;198786;0;
2016-03-24 08:00:00;107;352948;593165;22898;578624;1204394;1392802;0;
2016-03-24 16:00:00;0;-576;-5760;59;-238;4515;8778;0;
2016-03-25 00:00:00;0;70306;117556;3754;111855;190451;187750;0;
2016-03-25 08:00:00;96;272974;484302;15564;408887;794979;726072;0;
2016-03-25 16:00:00;0;-927;-6002;3;-943;2861;3118;0;
2016-03-26 00:00:00;125;126273;226442;4813;258140;465954;215545;0;
2016-03-26 08:00:00;71;199708;522731;10310;282310;453859;495631;0;
2016-03-26 16:00:00;0;-934;-4918;13;-951;1869;3207;0;
2016-03-27 00:00:00;325;62265;285557;3145;90314;124196;137384;0;
2016-03-27 08:00:00;137837;817113;4645989;64020;1485571;3706833;2698184;0;
2016-03-27 16:00:00;0;-202;7092;121;649;5147;32052;0;
2016-03-28 00:00:00;79268;184864;808551;4102;505155;913018;135180;0;
2016-03-28 08:00:00;1482163;963011;6925714;65924;1635031;4281453;2462135;0;
2016-03-28 16:00:00;3474;-204;4707;99;147;4065;26340;0;
2016-03-29 00:00:00;988974;156158;815548;3792;393969;728970;119398;0;
2016-03-29 08:00:00;5472774;740206;5364770;39368;1064952;2922137;1021450;0;
2016-03-29 16:00:00;7624;-672;1861;44;-849;1927;4700;0;
2016-03-30 00:00:00;2016143;151580;1061649;5011;359688;646522;211579;0;
2016-03-30 08:00:00;8397990;681076;5129143;38386;973277;2404984;1435284;0;
2016-03-30 16:00:00;23408;-330;6897;97;170;2909;8680;0;
2016-03-31 00:00:00;1897930;89769;792477;3965;111142;165421;177589;0;
2016-03-31 08:00:00;4259052;190074;1735448;8866;255089;328771;405324;0;
2016-03-31 16:00:00;18777;-395;2518;42;-486;1623;3598;0;
2016-04-01 00:00:00;1787839;79796;732643;3584;97164;151722;154707;0;
2016-04-01 08:00:00;11916107;671747;4952998;36991;946531;2383448;1224441;0;
2016-04-01 16:00:00;41017;197;10473;139;481;6302;11675;0;
2016-04-02 00:00:00;4183378;239906;1167100;4897;400498;819396;137932;0;
2016-04-02 08:00:00;16426242;1002576;7177744;60611;1486688;3816588;2143380;0;
2016-04-02 16:00:00;26187;42;9989;109;292;6192;69428;0;
2016-04-03 00:00:00;4509599;219459;1117308;4653;560060;902450;193253;0;
2016-04-03 08:00:00;13017092;817304;6014109;50043;1243414;2739300;2490770;0;
2016-04-03 16:00:00;44396;1397;22492;214;2013;8004;106235;0;
2016-04-04 00:00:00;4917271;258546;1128643;4432;610180;1038139;151322;0;
2016-04-04 08:00:00;17271077;1129348;7925516;72186;1698061;4193598;2762712;0;
2016-04-04 16:00:00;38946;622;19178;194;1643;5774;75382;0;
2016-04-05 00:00:00;2566823;112762;992513;4610;154664;252174;184966;0;
2016-04-05 08:00:00;10039055;495222;4389070;22211;614629;1302518;791854;0;
2016-04-05 16:00:00;31565;-631;9294;49;-273;2159;4684;0;
2016-04-06 00:00:00;1700978;55118;820618;2823;82658;104213;99843;0;
2016-04-06 08:00:00;12850946;587763;6738072;31094;792650;1837568;1247558;0;
2016-04-06 16:00:00;29794;-400;9653;44;-21;2413;4630;0;
2016-04-07 00:00:00;1970441;69464;987005;3117;92562;122831;121446;0;
2016-04-07 08:00:00;12129501;586780;6719290;29445;849803;1726368;1780980;0;
2016-04-07 16:00:00;54511;231;25898;90;988;5020;17358;0;
2016-04-08 00:00:00;3774944;159581;1686599;8952;224870;448105;138801;0;
2016-04-08 08:00:00;16482062;836379;8989127;43789;1204752;2758295;1997949;0;
